AssetID,Day of DateOccurred,ProblemTypeName
2B474B03-2404-E211-AEC9-0025B500016E,"July 17, 2015",Device Offline
2B474B03-2404-E211-AEC9-0025B500016E,"September 14, 2015",Accessory Issue
2B474B03-2404-E211-AEC9-0025B500016E,"October 16, 2015",Damage
2B474B03-2404-E211-AEC9-0025B500016E,"November 30, 2015",Device Fault
2B474B03-2404-E211-AEC9-0025B500016E,"January 7, 2016",Damage
2B474B03-2404-E211-AEC9-0025B500016E,"February 4, 2016",Paper Jam
2B474B03-2404-E211-AEC9-0025B500016E,"March 14, 2016",Paper Jam
2DE3540A-3A17-E211-AEC9-0025B500016E,"April 17, 2013",Device Fault
2DE3540A-3A17-E211-AEC9-0025B500016E,"April 19, 2013",Device Fault
2DE3540A-3A17-E211-AEC9-0025B500016E,"November 7, 2013",Device Fault
2DE3540A-3A17-E211-AEC9-0025B500016E,"April 30, 2014",Accessory Issue
2DE3540A-3A17-E211-AEC9-0025B500016E,"July 14, 2014",Device Offline
2DE3540A-3A17-E211-AEC9-0025B500016E,"January 12, 2015",Device Fault
2DE3540A-3A17-E211-AEC9-0025B500016E,"March 12, 2015",Device Fault
2DE3540A-3A17-E211-AEC9-0025B500016E,"April 18, 2015",Device Fault
2DE3540A-3A17-E211-AEC9-0025B500016E,"November 24, 2015",Device Fault
2DE3540A-3A17-E211-AEC9-0025B500016E,"February 3, 2016",Server Issue
2E3AA535-85D2-E111-97B2-0025B500016E,"November 6, 2012",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"November 14, 2012",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"December 3, 2012",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"December 5, 2012",Output Quality
2E3AA535-85D2-E111-97B2-0025B500016E,"December 17, 2012",Device Fault
2E3AA535-85D2-E111-97B2-0025B500016E,"December 18, 2012",Device Fault
2E3AA535-85D2-E111-97B2-0025B500016E,"December 18, 2012",Accessory Issue
2E3AA535-85D2-E111-97B2-0025B500016E,"January 10, 2013",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"January 22, 2013",Accessory Issue
2E3AA535-85D2-E111-97B2-0025B500016E,"January 30, 2013",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"February 14, 2013",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"August 2, 2013",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"October 11, 2013",Device Fault
2E3AA535-85D2-E111-97B2-0025B500016E,"January 16, 2014",Device Offline
2E3AA535-85D2-E111-97B2-0025B500016E,"June 5, 2014",Output Quality
2E3AA535-85D2-E111-97B2-0025B500016E,"September 26, 2014",Device Fault
2E3AA535-85D2-E111-97B2-0025B500016E,"October 20, 2014",Output Quality
2E3AA535-85D2-E111-97B2-0025B500016E,"March 3, 2015",Device Fault
2E3AA535-85D2-E111-97B2-0025B500016E,"June 26, 2015",Scanning Issue
2E3AA535-85D2-E111-97B2-0025B500016E,"August 18, 2015",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"August 25, 2015",Paper Jam
2E3AA535-85D2-E111-97B2-0025B500016E,"November 2, 2015",Scanning Issue
2EA0A4D4-0A83-E411-80CC-0025B51F03FF,"September 17, 2015",Device Fault
2EA0A4D4-0A83-E411-80CC-0025B51F03FF,"October 13, 2015",Output Quality
2EA0A4D4-0A83-E411-80CC-0025B51F03FF,"November 3, 2015",Damage
2EA0A4D4-0A83-E411-80CC-0025B51F03FF,"November 30, 2015",Device Fault
2EA0A4D4-0A83-E411-80CC-0025B51F03FF,"December 1, 2015",Device Fault
2EA0A4D4-0A83-E411-80CC-0025B51F03FF,"December 16, 2015",Paper Jam
2EA0A4D4-0A83-E411-80CC-0025B51F03FF,"January 12, 2016",Paper Jam
2EA0A4D4-0A83-E411-80CC-0025B51F03FF,"March 17, 2016",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"October 2, 2014",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"October 3, 2014",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"November 4, 2014",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"November 5, 2014",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"November 24, 2014",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"December 29, 2014",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"January 13, 2015",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"January 28, 2015",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"January 30, 2015",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"February 12, 2015",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"February 13, 2015",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"March 3, 2015",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"April 16, 2015",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"May 11, 2015",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"May 27, 2015",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"June 9, 2015",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"September 8, 2015",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"October 6, 2015",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"October 8, 2015",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"December 3, 2015",Environmental Issue
2F343BC9-2CE1-E311-80C1-0025B500016E,"December 14, 2015",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"February 2, 2016",Device Fault
2F343BC9-2CE1-E311-80C1-0025B500016E,"February 4, 2016",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"March 3, 2016",Paper Jam
2F343BC9-2CE1-E311-80C1-0025B500016E,"March 7, 2016",Paper Jam
2FFE0553-D5D1-E111-97B2-0025B500016E,"January 17, 2013",Output Quality
2FFE0553-D5D1-E111-97B2-0025B500016E,"January 23, 2013",Output Quality
2FFE0553-D5D1-E111-97B2-0025B500016E,"April 11, 2013",Device Fault
2FFE0553-D5D1-E111-97B2-0025B500016E,"September 30, 2013",Device Fault
2FFE0553-D5D1-E111-97B2-0025B500016E,"August 7, 2014",Device Offline
2FFE0553-D5D1-E111-97B2-0025B500016E,"September 5, 2014",Device Offline
3B35D408-C600-E211-AEC9-0025B500016E,"January 11, 2016",Device Offline
3B523F09-0CD1-E111-97B2-0025B500016E,"December 13, 2012",Paper Jam
3B523F09-0CD1-E111-97B2-0025B500016E,"January 30, 2014",Output Quality
3B523F09-0CD1-E111-97B2-0025B500016E,"February 27, 2014",Paper Jam
3B523F09-0CD1-E111-97B2-0025B500016E,"April 7, 2014",Paper Jam
3B523F09-0CD1-E111-97B2-0025B500016E,"April 28, 2014",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"May 27, 2014",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"June 26, 2014",Paper Jam
3B523F09-0CD1-E111-97B2-0025B500016E,"September 3, 2014",Scanning Issue
3B523F09-0CD1-E111-97B2-0025B500016E,"October 9, 2014",Paper Jam
3B523F09-0CD1-E111-97B2-0025B500016E,"October 22, 2014",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"October 29, 2014",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"December 15, 2014",Paper Jam
3B523F09-0CD1-E111-97B2-0025B500016E,"December 22, 2014",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"January 9, 2015",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"January 20, 2015",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"March 16, 2015",Paper Jam
3B523F09-0CD1-E111-97B2-0025B500016E,"April 20, 2015",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"May 27, 2015",Device Fault
3B523F09-0CD1-E111-97B2-0025B500016E,"July 22, 2015",Fax Issue
3B523F09-0CD1-E111-97B2-0025B500016E,"August 31, 2015",Device Offline
3B523F09-0CD1-E111-97B2-0025B500016E,"September 11, 2015",Damage
3B523F09-0CD1-E111-97B2-0025B500016E,"January 6, 2016",Damage
3B970FD9-C500-E211-AEC9-0025B500016E,"September 11, 2013",Device Fault
3B970FD9-C500-E211-AEC9-0025B500016E,"September 23, 2013",Scanning Issue
3B970FD9-C500-E211-AEC9-0025B500016E,"July 1, 2014",Device Fault
3B970FD9-C500-E211-AEC9-0025B500016E,"July 7, 2014",Device Fault
3B970FD9-C500-E211-AEC9-0025B500016E,"November 11, 2014",Device Fault
3B970FD9-C500-E211-AEC9-0025B500016E,"January 5, 2015",Device Fault
3B970FD9-C500-E211-AEC9-0025B500016E,"March 16, 2015",Damage
3B970FD9-C500-E211-AEC9-0025B500016E,"September 28, 2015",Device Fault
3C5CACD7-CCDF-E511-80E6-0025B51F03FF,,
3CEBF316-3DE0-E111-AD34-0025B500016E,"September 6, 2012",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"September 10, 2012",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"September 11, 2012",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"October 4, 2012",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"October 7, 2012",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"October 11, 2012",Damage
3CEBF316-3DE0-E111-AD34-0025B500016E,"October 18, 2012",Damage
3CEBF316-3DE0-E111-AD34-0025B500016E,"November 14, 2012",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"May 13, 2013",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"November 7, 2013",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"January 6, 2014",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"June 4, 2014",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"July 28, 2014",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"July 31, 2014",Output Quality
3CEBF316-3DE0-E111-AD34-0025B500016E,"September 2, 2014",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"September 23, 2014",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"November 12, 2014",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"November 21, 2014",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"December 2, 2014",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"December 9, 2014",Damage
3CEBF316-3DE0-E111-AD34-0025B500016E,"April 10, 2015",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"June 9, 2015",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"October 14, 2015",Device Fault
3CEBF316-3DE0-E111-AD34-0025B500016E,"November 19, 2015",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"December 21, 2015",Paper Jam
3CEBF316-3DE0-E111-AD34-0025B500016E,"January 27, 2016",Paper Jam
